video_id,title,published_at,view_count,like_count,comment_count,duration,hours,minutes,seconds,podcast,total_seconds,duration_minutes,is_short_strict
LrH36jzRFyE,Join us at Odoo Community Days,2025-07-28T06:22:52Z,22907,683,10,PT1M5S,0,1,5,No,65,1.0833333333333333,False
WigW83_aoAI,Why Airport Areas See Land Hype,2025-07-21T14:23:19Z,203547,4209,19,PT1M24S,0,1,24,No,84,1.4,False
lAIh3MgD7Ac,Why Gurgaon’s Real Estate Boomed?,2025-07-21T12:48:18Z,75592,1489,13,PT1M15S,0,1,15,No,75,1.25,False
yDed2v571pw,Gurgaon Property Boom or Bust? Releasing soon!,2025-07-19T09:03:17Z,165673,4457,62,PT1M52S,0,1,52,No,112,1.8666666666666667,False
0Z_IL6IQvJk,One Big Myth About Startups,2025-07-14T13:57:33Z,48774,1757,5,PT1M1S,0,1,1,No,61,1.0166666666666666,False
rb_tQdRwYnw,Trump's Explosive Warning: Is BRICS on the Edge of Collapse? Geopolitical Case Study,2025-07-13T10:40:01Z,519953,15527,621,PT11M50S,0,11,50,No,710,11.833333333333334,False
h-Q0777sxpk,IIM is Overrated?,2025-07-11T14:50:03Z,106277,2283,15,PT1M9S,0,1,9,No,69,1.15,False
Jtlhil-ZrSw,Inside Facebook’s Ruthless Meritocracy,2025-07-11T13:50:05Z,534152,9144,43,PT1M2S,0,1,2,No,62,1.0333333333333334,False
-_rzYoEZdc0,50 Lakhs income secret.. coming soon,2025-07-11T13:25:34Z,32508,773,10,PT1M32S,0,1,32,No,92,1.5333333333333334,False
HP5Ksajn4lc,America Shocked 🚨: Elon Musk Annouces a new Political Party | Whats next? | Political Case study,2025-07-04T06:43:00Z,751121,21160,1164,PT23M54S,0,23,54,No,1434,23.9,False
7ek1P610tm4,"How this UGLY Doll ""Labubu"" Prints $1.6 Billion: HYPE Marketing Explained | Business Case Study",2025-07-02T15:00:07Z,841171,19140,739,PT20M21S,0,20,21,No,1221,20.35,False
B8X3loWQqyU,MrBeast's Viral Thumbnail Secret!,2025-06-30T06:15:17Z,33977,1095,3,PT1M10S,0,1,10,No,70,1.1666666666666667,False
O0Qhnls-C6k,NASA's Innovation First Rule,2025-06-30T06:13:56Z,62427,2321,7,PT1M3S,0,1,3,No,63,1.05,False
1--iZlvRw9Q,Product vs Sponsorship,2025-06-27T09:09:59Z,45104,1432,4,PT1M13S,0,1,13,No,73,1.2166666666666666,False
KUM6J25ySlE,How Does Mark Rober Create Viral Hits?,2025-06-27T08:15:02Z,38359,1404,6,PT1M25S,0,1,25,No,85,1.4166666666666667,False
7HAF4KdnfC8,Apple’s Secret Culture of Simplicity,2025-06-26T06:46:51Z,95909,3902,14,PT1M11S,0,1,11,No,71,1.1833333333333331,False
YZOaZM4Cf1M,"@MarkRober  Loves ""Jugaad""",2025-06-25T14:56:28Z,52464,2096,19,PT1M2S,0,1,2,No,62,1.0333333333333334,False
rlcZyFsGFkk,AI Will Reshape Global Power Forever,2025-06-25T14:52:46Z,22914,1108,4,PT1M23S,0,1,23,No,83,1.3833333333333333,False
5d3AB7oYQy4,Creators Fail Without THIS One Role!,2025-06-25T14:45:46Z,26578,1652,2,PT1M14S,0,1,14,No,74,1.2333333333333334,False
a2bReBOl91U,@MarkRober  NASA Engineer to YouTuber,2025-06-25T10:40:07Z,38892,1853,15,PT1M33S,0,1,33,No,93,1.55,False
cfpIxv8vqr0,Why Russia and China wont let IRAN Fall? | Geopolitical Case Study,2025-06-24T05:33:10Z,804508,24287,970,PT15M58S,0,15,58,No,958,15.966666666666669,False
7HXNTrfJ16c,Dark Side of Skincare Industry,2025-06-21T06:48:21Z,49673,1429,6,PT1M6S,0,1,6,No,66,1.1,False
zGIwnkU01X4,FREE MBA : How Minimalist Conquered India's D2C Beauty Market? - IBP EP32,2025-06-20T13:45:08Z,117683,2537,103,PT2H13M43S,2,13,43,No,8023,133.71666666666667,False
nAEHny6_d8w,2955 Cr Skincare Business #minimalist,2025-06-19T12:01:56Z,35348,1236,16,PT1M34S,0,1,34,No,94,1.5666666666666669,False
J7eRGL5uvaE,DONALD TRUMP'S “Big Beautiful Bill” Just Changed Everything for ELON MUSK!!,2025-06-12T15:20:00Z,513452,13048,372,PT16M51S,0,16,51,No,1011,16.85,False
MZQvvg_x3gg,AMERICA can create UNLIMITED Money? The Real Power of the US DOLLAR | Economic Case Study,2025-06-10T13:30:07Z,365382,11620,517,PT15M32S,0,15,32,No,932,15.533333333333331,False
fVuA_01Fi9E,Why universities aren't becoming best?,2025-06-09T07:52:08Z,82051,2442,79,PT1M20S,0,1,20,No,80,1.3333333333333333,False
